cod,depto,municipio,cep1v,abe1v,margen1v,cep2v,abe2v,margen2v,delta_margen,share_abe2v_pct,share_abe_esperado_pct,over_pp,over_votos,votant1v,votant2v,delta_votant,matched
44024,Caquetá,SOLITA,744,1227,483,1465,1605,140,-343,52.28,63.85,-11.57,-355,2341,3246,905,1
44040,Caquetá,VALPARAISO,587,1498,911,875,1973,1098,187,69.28,72.65,-3.38,-96,2383,2977,594,1
46040,Casanare,AGUAZUL,5718,11764,6046,7166,14040,6874,828,66.21,68.78,-2.57,-545,21094,22000,906,1
46120,Casanare,CHAMEZA,267,835,568,300,972,672,104,76.42,76.75,-0.34,-4,1269,1300,31,1
46320,Casanare,HATO COROZAL,806,3410,2604,1048,4204,3156,552,80.05,81.44,-1.4,-73,4808,5318,510,1
46480,Casanare,LA SALINA,229,109,-120,365,164,-201,-81,31.0,34.16,-3.16,-16,389,552,163,1
46520,Casanare,MANI,1830,4699,2869,2291,5676,3385,516,71.24,72.87,-1.62,-129,7649,8170,521,1
46540,Casanare,MONTERREY,2032,5339,3307,2501,6344,3843,536,71.72,73.58,-1.86,-164,8832,9152,320,1
46560,Casanare,NUNCHIA,566,2990,2424,692,3934,3242,818,85.04,84.97,0.07,3,4194,4689,495,1
46640,Casanare,OROCUE,1241,3199,1958,1535,4062,2527,569,72.57,73.25,-0.67,-37,5074,5708,634,1
46680,Casanare,PAZ DE ARIPORO (MORENO),3152,11987,8835,4039,15175,11136,2301,78.98,80.1,-1.12,-215,17613,19629,2016,1
46700,Casanare,PORE,847,3622,2775,1115,4738,3623,848,80.95,81.62,-0.67,-39,5200,5982,782,1
46760,Casanare,RECETOR,187,477,290,248,664,416,126,72.81,72.89,-0.09,0,793,929,136,1
46800,Casanare,SABANALARGA,393,1371,978,472,1569,1097,119,76.87,78.45,-1.57,-32,2002,2088,86,1
46815,Casanare,SACAMA,621,312,-309,754,449,-305,4,37.32,37.38,-0.05,0,1102,1235,133,1
46830,Casanare,SAN LUIS DE PALENQUE,533,3127,2594,709,3951,3242,648,84.79,85.24,-0.46,-21,4243,4753,510,1
46840,Casanare,TAMARA,469,1684,1215,565,2484,1919,704,81.47,79.91,1.56,47,2669,3113,444,1
46850,Casanare,TAURAMENA,3174,9652,6478,4043,10893,6850,372,72.93,75.43,-2.5,-372,14757,15411,654,1
46865,Casanare,TRINIDAD,946,4167,3221,1166,5407,4241,1020,82.26,82.41,-0.15,-10,5949,6712,763,1
46880,Casanare,VILLANUEVA,5436,11281,5845,6873,13050,6177,332,65.5,68.63,-3.13,-624,20257,20721,464,1
46001,Casanare,YOPAL,25755,54089,28334,32592,63427,30835,2501,66.06,68.15,-2.09,-2010,94609,98816,4207,1
48002,La Guajira,ALBANIA,7040,2387,-4653,8913,2924,-5989,-1336,24.7,26.54,-1.83,-217,10030,12044,2014,1
48004,La Guajira,BARRANCAS,8124,3419,-4705,10839,4620,-6219,-1514,29.89,31.22,-1.33,-205,12260,15626,3366,1
48005,La Guajira,DIBULLA,5527,2752,-2775,7534,3732,-3802,-1027,33.13,34.71,-1.58,-178,8879,11453,2574,1
48008,La Guajira,DISTRACCION,2764,1959,-805,3491,2561,-930,-125,42.32,42.47,-0.15,-9,4985,6149,1164,1
48006,La Guajira,EL MOLINO,2114,1926,-188,2711,2456,-255,-67,47.53,48.48,-0.95,-48,4285,5240,955,1
48007,La Guajira,FONSECA,9393,4835,-4558,12851,5855,-6996,-2438,31.3,35.12,-3.82,-714,15163,18996,3833,1
48009,La Guajira,HATONUEVO,5031,1844,-3187,6436,2343,-4093,-906,26.69,27.89,-1.2,-105,7266,8881,1615,1
48012,La Guajira,LA JAGUA DEL PILAR,1435,992,-443,1793,1248,-545,-102,41.04,41.86,-0.83,-25,2586,3085,499,1
48010,La Guajira,MAICAO,25692,20966,-4726,35313,26067,-9246,-4520,42.47,45.92,-3.46,-2121,50548,62729,12181,1
48011,La Guajira,MANAURE,7997,3967,-4030,16175,7343,-8832,-4802,31.22,36.32,-5.1,-1198,13466,24216,10750,1
