salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
jal>concejo,2011,2015,LUZ MIREYA CAMELO,LUZ MIREYA CAMELO,16,16-001,04,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,321,2803,8.7321,2803,740,0.264,,,
jal>concejo,2011,2015,HARBY ENRIQUE BELTRAN URUETA,HARBY ENRIQUE BELTRAN URUETA,15,15-094,02,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,319,507,1.5893,507,64,0.1262,,,
jal>concejo,2011,2015,HECTOR JULIO MONTENEGRO GOMEZ,HECTOR JULIO MONTENEGRO GOMEZ,21,21-016,02,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,319,14,0.0439,14,7,0.5,,,
jal>concejo,2011,2015,MONICA ISABEL RESTREPO URIBE,MONICA ISABEL RESTREPO URIBE,01,01-151,03,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,318,302,0.9497,302,14,0.0464,,,
jal>concejo,2011,2015,ORLANDO DE JESUS ARCILA ARISTIZABAL,ORLANDO DE JESUS ARCILA ARISTIZABAL,24,24-001,01,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,318,758,2.3836,758,389,0.5132,,,
jal>concejo,2011,2015,LUDIBIA SALGADO SALGADO,LUDIBIA SALGADO SALGADO,31,31-079,05,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,317,76,0.2397,76,18,0.2368,,,
jal>concejo,2011,2015,LIDUVINA DE LOS SANTOS ESPITIA AGAMEZ,LIDUVINA DE LOS SANTOS ESPITIA AGAMEZ,01,01-035,01,PARTIDO DE INTEGRACION NACIONAL,PARTIDO OPCIÓN CIUDADANA,false,311,115,0.3698,115,62,0.5391,,,
jal>concejo,2011,2015,CARLOS EMIRO LANCHEROS PENA,CARLOS EMIRO LANCHEROS PENA,16,16-001,13,PARTIDO CONSERVADOR COLOMBIANO,MOVIMIENTO SIGNIFICATIVO DE CIUDADANOS PROGRESISTAS,false,311,433,1.3923,433,18,0.0416,,,
jal>concejo,2011,2015,FANNY RAMIREZ BEDOYA,FANNY RAMIREZ BEDOYA,31,31-079,04,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,310,49,0.1581,49,4,0.0816,,,
jal>concejo,2011,2015,WILLSON DIEZ RAMOS,WILLSON DIEZ RAMOS,01,01-151,02,PARTIDO LIBERAL COLOMBIANO,PODEMOS MÁS,false,307,64,0.2085,64,21,0.3281,,,
jal>concejo,2011,2015,JAVIER ANDRES MONTERO ZULUAGA,JAVIER ANDRES MONTERO ZULUAGA,31,31-001,05,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,307,726,2.3648,726,29,0.0399,,,
jal>concejo,2011,2015,BLANCA TULIA ROJAS OLMEDO,BLANCA TULIA ROJAS OLMEDO,31,31-022,02,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,307,59,0.1922,59,18,0.3051,,,
