salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
concejo>asamblea,2011,2015,LUCAS URIEL MENDOZA CELY,LUCAS URIEL MENDOZA CELY,46,46-001,46-001,PARTIDO DE INTEGRACION NACIONAL,PARTIDO DE LA U,false,208,608,2.9231,608,486,0.7993,,,
concejo>asamblea,2011,2015,LEIDY YOHANA GARCIA MELENDEZ,LEIDY YOHANA GARCIA MELENDEZ,64,64-028,64-028,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,205,2798,13.6488,2798,2157,0.7709,,,
concejo>asamblea,2011,2015,RAUL HORACIO DIAZ CORTES,RAUL HORACIO DIAZ CORTES,31,31-106,31-106,MOVIMIENTO POLITICO AFROVIDES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,false,203,605,2.9803,605,312,0.5157,,,
concejo>asamblea,2011,2015,ALFONSO DIAZ CASTRO,ALFONSO DIAZ CASTRO,44,44-001,44-001,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,PARTIDO UNIÓN PATRIÓTICA,false,202,208,1.0297,208,115,0.5529,,,
concejo>asamblea,2011,2015,JOSE AUGUSTO MENDOZA DIAZ,JOSE AUGUSTO MENDOZA DIAZ,60,60-001,60-001,PARTIDO CAMBIO RADICAL,PARTIDO CONSERVADOR COLOMBIANO,false,199,124,0.6231,124,105,0.8468,,,
concejo>asamblea,2011,2015,JAIRO OROZCO CASTANO,JAIRO OROZCO CASTANO,05,05-001,05-001,"MOVIMIENTO ""SI ES POSIBLE""",PARTIDO OPCIÓN CIUDADANA,false,198,1022,5.1616,1022,570,0.5577,,,
concejo>asamblea,2011,2015,EFREN CACUA BENITEZ,EFREN CACUA BENITEZ,72,72-006,72-006,PARTIDO DE INTEGRACION NACIONAL,PARTIDO OPCIÓN CIUDADANA,false,196,162,0.8265,162,151,0.9321,,,
concejo>asamblea,2011,2015,YESID CAMPOS SOTELO,YESID CAMPOS SOTELO,19,19-070,19-070,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,194,3739,19.2732,3739,2970,0.7943,,,
concejo>asamblea,2011,2015,URIEL CASTANO FAJARDO,URIEL CASTANO FAJARDO,50,50-001,50-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,194,175,0.9021,175,175,1,,,
concejo>asamblea,2011,2015,WILSON OCTAVIO SANCHEZ VARGAS,WILSON OCTAVIO SANCHEZ VARGAS,60,60-007,60-007,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,190,360,1.8947,360,244,0.6778,,,
concejo>asamblea,2011,2015,EDUARDO SANTOS FLOREZ VERGARA,EDUARDO SANTOS FLOREZ VERGARA,12,12-608,12-608,PARTIDO VERDE,PARTIDO DE LA U,false,187,18890,101.016,18890,7554,0.3999,,,
concejo>asamblea,2011,2015,GABRIEL LOPEZ RUIZ,GABRIEL LOPEZ RUIZ,46,46-880,46-880,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,true,186,2507,13.4785,2507,1965,0.7838,,,
concejo>asamblea,2011,2015,WELLINGTON RANKIN BENT,WELLINGTON RANKIN BENT,56,56-004,56-004,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,185,833,4.5027,833,739,0.8872,,,
