NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
"Punto de acopio , olla comunitaria y refugio",Cali,Valle del Cauca,CRA 48# 25-57,Agua · Gafas de seguridad · Tapabocas · Barras de demolición · Porras · Percutores · Seguetas · Cinceles · Baldes · Cintas de seguridad · Discos de pulidora · Carpas · Tapers · Botiquín · Electrolitos,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3147336751,,PUNTO DE ACOPIO,3.407484,-76.521242
PUNTO DE ACOPIO CARRERA 24 CALLE 51-68 NUEVA FLORESTA,Cali,Valle del Cauca,CARRERA 24 CALLE 51-68 NUEVA FLORESTA,Comida no Perecedora,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3188056915,,PUNTO DE ACOPIO,3.440133,-76.499083
Punto de acopio hacia el norte del valle carrera 38 #6-50 barrio eucarístico,Cali,Valle del Cauca,Punto de acopio hacia el norte del valle carrera 38 #6-50 barrio eucarístico,Agua · Comida · Gafas de seguridad · Picas · Palas · Discos de pulidora · Carpas · Linternas · Barras de demolición · Cinceles · Seguetas · Baldes · Todo tipo de insumos · Comida para animales,SIN DATO,SIN DATO,SIN DATO,SI,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.421484,-76.527069
Punto de acopio Unidad Guaraní,Cali,Valle del Cauca,Unidad guarani,Comida · Agua · Botiquín · Pañales · Colchonetas · Electrolitos · Comida para animales · Carpas,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.39018,-76.549271
Ramali casta comunal,Cali,Valle del Cauca,Ramali casta comunal,Colchonetas · Agua · Comida para animales · Carpas · Pañales · Comida,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3215644443,,ALBERGUE,3.490769,-76.484596
Restaurante Valle Pacífico,Cali,Valle del Cauca,Carrera 6 # 2-130,Tapabocas · Pañales · Agua · Artículos de aseo e insumos médicos,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.447545,-76.538867
Sede Comunal Barrio Calima,Cali,Valle del Cauca,CRA 6N#65N-69,Centro de Acopio de ayudas,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3116297361,,PUNTO DE ACOPIO,3.485464,-76.501917
Terrón colorado,Cali,Valle del Cauca,Calle 25oeste#4-64 barrio terrón colorado /frente ala escuela Ana María de Lloreda,Agua · Comida · Comida para animales · Pañales · Botiquín · Palas · Guantes de obra · Kit de aseo · material de construcción,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3165623912,,PUNTO DE ACOPIO,3.452073,-76.56834
Tertuliadero Capri,Cali,Valle del Cauca,"Cra 78A #05 #10 a, Comuna 17, Cali, Valle del Cauca",Alimentos No Perecederos · Jabones Barra · Cepillos Dientes · Cremas Dentales · Papel Higiénico · Shampoo · Desodorantes · Envases de Viaje(100ml) · Kits Primer Auxilio,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3148887645,,ALBERGUE,3.388014,-76.541709
Universidad del valle San Fernando,Cali,Valle del Cauca,Universidad del valle San Fernando,Agua · Comida · Electrolitos · Botiquín · Carpas · Pañales · Colchonetas · Comida para animales · Linternas · Tapabocas,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3053235118,,PUNTO DE ACOPIO,3.43478,-76.542534
Vanessa Jaramillo,Cali,Valle del Cauca,Hospital universitario,Picas · Leche de fórmula 1 en tarro · suero oral.,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE AGUA,3.430183,-76.54544
Acopio portal de jamundi Carrera 1c Sur #10c-132,Jamundí,Valle del Cauca,Acopio portal de jamundi Carrera 1c Sur #10c-132,Comida · Agua · Gafas de seguridad · Barras de demolición · Baldes · Costales · Botiquín · Tapers · Carpas · Colchonetas · Pañales · Comida para animales · Guantes de obra · Porras · Discos de pulidor,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.254186,-76.533285
Punto de acopio JAMUNDI PARQUE DE LOS CHOLADO,Jamundí,Valle del Cauca,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.265072,-76.536643
"Estacion bomberos, la cumbre",La Cumbre,Valle del Cauca,"Estacion bomberos, la cumbre",Agua · Comida · Electrolitos · Botiquín · Colchonetas · Carpas · Pañales · Comida para animales · Se necesitan insumos para llevar a las personas afectadas que se quedaron sin hogar en el municipio de,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3147068901,,PUNTO DE ACOPIO,3.649591,-76.568962
"Calle 16 # 3-278, La Unión, Valle del Cauca, DAR BRUT CVC",La Unión,Valle del Cauca,"Calle 16 # 3-278, La Unión, Valle del Cauca, DAR BRUT CVC",Agua · Electrolitos · Botiquín · Pañales · Comida para animales · Se necesita: Alimentos no Perecederos · Aseo Personal,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,4.531514,-76.090892
Coliseo Angelino Garzón,La Unión,Valle del Cauca,Coliseo Angelino Garzón,Comida · Comida para animales · Pañales · Colchonetas · Electrolitos,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,ALBERGUE,4.527269,-76.097909
Rey Bajo casa 36,Roldanillo,Valle del Cauca,Rey Bajo casa 36,Comida · Agua · Tapabocas · Colchonetas · Pañales · Comida para animales,SIN DATO,SIN DATO,SIN DATO,SI,SIN DATO,3136556005,,PUNTO DE ACOPIO,4.421037,-76.144986
Roldanillo,Roldanillo,Valle del Cauca,Roldanillo,Gasolina · Pañales XL para ancianos · Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Pañales,SIN DATO,SIN DATO,SIN DATO,SI,SIN DATO,3128223720,,PUNTO DE AGUA,4.409117,-76.154374
andinapolis,Trujillo,Valle del Cauca,andinapolis,Linternas · Agua · Comida · Guantes de obra · Gafas de seguridad · Porras · Colchonetas · Carpas · Comida para animales · Pañales · Botiquín · enlatados · no perecederos · starlink · paneles solares y,SIN DATO,SIN DATO,SIN DATO,SI,SIN DATO,3184695096,,ALBERGUE,4.166972,-76.386254
Donaciones para Roldanillo,Tuluá,Valle del Cauca,Calle 28c 37-39,Colchonetas · Pañales · Carpas · Electrolitos · Comida · Botiquín · Comida para animales · Aseo personal,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3173870015,,PUNTO DE ACOPIO,4.08041,-76.188858
"Calle 10, Menga",Yumbo,Valle del Cauca,"Calle 10, Menga",Agua · Comida · Guantes de obra · Tapabocas · Linternas · Palas · Picas · Percutores · Barras de demolición · Cinceles · Porras · Baldes · Costales · Cintas de seguridad · Seguetas · Carpas · Tapers,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.497489,-76.521958
Calle 15 #37-05,Yumbo,Valle del Cauca,Calle 15 #37-05,Botiquín · Electrolitos · Colchonetas · Pañales · Tapers · Carpas · Mula para B/ventura · Cajas,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.493583,-76.50862
Carga avioneta - Barrio León 13,Yumbo,Valle del Cauca,Calle 34a #29a-35,Voluntarios · Transporte de personal al aeropuerto 8:30am,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3217773660,,PUNTO DE ACOPIO,3.556858,-76.504609
"CL.10#22a 700, Yumbo, Arroyo Hondo , Parcelacion Laguna Seca , casa 30",Yumbo,Valle del Cauca,"CL.10#22a 700, Yumbo, Arroyo Hondo , Parcelacion Laguna Seca , casa 30",Colchonetas · Carpas · Electrolitos · Pañales · Comida para animales · Cinceles · Seguetas · Botiquín · Tapers · Costales · Cintas de seguridad · Percutores · Comida · Baldes · Barras de demolición · ,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3108379539,,PUNTO DE ACOPIO,3.542793,-76.509898
Texaco Cali - Yumbo,Yumbo,Valle del Cauca,Texaco Cali - Yumbo,Agua · Botiquín · Electrolitos · Carpas · Colchonetas · Pañales · Comida para animales,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,3.493453,-76.508854
