NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR
CC PLAZA IMPERIAL - SUBA,Bogotá,Bogotá D.C.,Cra. 104 #148 - 07,SIN DATO,8:00 am,10:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL
"Cl. 14 #19-64, Bogotá",Bogotá,Bogotá D.C.,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
Colombia cuida a Colombia,Bogotá,Bogotá D.C.,Carrera 15 # 82-81,SIN DATO,SIN DATO,hasta las 6:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
COMPENSAR CRA 60,Bogotá,Bogotá D.C.,Carrera 60 #66 B - 05,"🧼 Kits de aseo para adultos, niños y bebés · 👶 Pañales y pañitos húmedos · 🥫 Alimentos no perecederos · 🐶🐱 Comida para animales · 📦 Si pueden, por favor lleven las donaciones en cajas para facilitar…",SIN DATO,hasta las 6:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CAJA DE COMPENSACIÓN
"Cra. 48 #91-50, Bogotá",Bogotá,Bogotá D.C.,"Cra. 48 #91-50, Bogotá",SIN DATO,SIN DATO,A las 3pm,SIN DATO,NO,SIN DATO,8455124,agosto 14,SIN DATO
CRIC,Bogotá,Bogotá D.C.,Calle 12f #2-75,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
CRUZ ROJA,Bogotá,Bogotá D.C.,CARRERA 24 #73-38,SIN DATO,SIN DATO,desde las 10pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
EDUCAMBIO,Bogotá,Bogotá D.C.,"Casa 54, 79B-40",SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
ESCUELA DE CABALLERÍA,Bogotá,Bogotá D.C.,CRA 7 # 106-10,Hasta las 8pm,SIN DATO,hasta las 10:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,INSTALACIÓN MILITAR
Espacio en Blanco (Frecuencias que ayudan),Bogotá,Bogotá D.C.,"Cl. 48 #6 - 14, Chapinero, Bogotá",SIN DATO,4:00 pm,12:00 pm,SIN DATO,NO,SIN DATO,3022040758,agosto 14,SIN DATO
FUNDACIÓN CATALINA MUÑOZ,Bogotá,Bogotá D.C.,DIAGONAL 48#19-16,SIN DATO,8:00 am,5:00 pm,SIN DATO,NO,SIN DATO,3167446507,agosto 14,FUNDACIÓN
FUNDACIÓN EL COMBO,Bogotá,Bogotá D.C.,CARRERA 98 # 156C-10,SIN DATO,SIN DATO,8:00am-5:00pm hasta el lunes 17 de agosto · Cambian turnos cada hora,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN
FUNDACIÓN MUJERES POR LA DEMOCRACIA,Bogotá,Bogotá D.C.,CARRERA 15#82-81,SIN DATO,8:00 am,5:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN
FUNDACIÓN TRANSFORMANDO VIDAS CRA 104,Bogotá,Bogotá D.C.,Cra 104 # 16-28,SIN DATO,SIN DATO,3PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN
FUNDACIÓN TRANSFORMANDO VIDAS CRA 80 - JAC CALARCÁ,Bogotá,Bogotá D.C.,CARRERA 80A #49-08SUR,SIN DATO,SIN DATO,hasta las 10:00 pm,SIN DATO,SI,SIN DATO,3228567540,agosto 14,FUNDACIÓN
GALERÍA ABORIGEN,Bogotá,Bogotá D.C.,CARRERA 6A # 116-17,"Se necesitan MUCHAS donaciones de todo tipo, para comunidades indígenas del Chocó · Se reciben hasta las 10pm · En Galería Aborigen en la Carrera 6A #116-17 en Bogotá",SIN DATO,hasta las 9:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
Kennedy barrio Calarcá JAC Pastranita,Bogotá,Bogotá D.C.,Cra 80a #49-08,Ellos harán recepción de insumos hasta el día DOMINGO De 10am a 7pm aproximadamente Hacen falta donaciones en: · ASEO: · *Toallas de cuerpo · *Shampoo y peinillas · *Desodorantes · *Pañales para…,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA
La campiña SUBA,Bogotá,Bogotá D.C.,Calle 140B # 96-60,Van a Buenaventura,SIN DATO,hasta las 9:00 pm,SIN DATO,SI,SIN DATO,SIN DATO,agosto 14,SIN DATO
MATCHACHÁ Y AMARÍA HAIRSPA,Bogotá,Bogotá D.C.,CALLE 80#9-25,SIN DATO,SIN DATO,Sábado 15 de agosto desde las 8am,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
MINUTO DE DIOS,Bogotá,Bogotá D.C.,Carrera 73A n.º 81B – 70,SIN DATO,8:00 am,4:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
PALACIO DE LOS DEPORTES,Bogotá,Bogotá D.C.,calle 63 #59A-06,"Se necesitan MUCHAS donaciones de todo tipo, para comunidades indígenas del Chocó. se reciben hasta las 10 pm",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
PARKWAY,Bogotá,Bogotá D.C.,Cra 24#39-29,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
PARQUE DE LOS HIPPIES,Bogotá,Bogotá D.C.,Ac 63 #59A - 06,Aseo · - Papel higiénico · - toallas higiénicas · - Desodorante · - Shampo en sobre · - Pañales · - pañitos · - jabón de cuerpo · Alimentos no perecederos y se está recibiendo comida de perritos y…,SIN DATO,A PARTIR DE LA 1,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,PARQUE
PARQUE LA COLINA,Bogotá,Bogotá D.C.,Cra. 58d #146-51,SIN DATO,SIN DATO,hasta las 9:00 pm,SIN DATO,SI,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL
POWER THE MOV,Bogotá,Bogotá D.C.,CRA 7#61-38,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3192966242,agosto 14,SIN DATO
PUNTO CAMILO TRIANA,Bogotá,Bogotá D.C.,EDS TERPEL Av Boyacá 77a - 11,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
SOS JUNTOS POR EL CHOCÓ Calle 127c,Bogotá,Bogotá D.C.,Calle 127c #49-05,SIN DATO,8:00 am,6:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
SOS JUNTOS POR EL CHOCÓ Cra 22,Bogotá,Bogotá D.C.,Cra 22 #23-46,SIN DATO,8:00 am,6:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
