zz,pp,censo,n_mesas,cam_turnout,briceno,uscategui,cote,mosquera,lorduy,gordillo,juvinao,toro,bleidy,borda,pacto_list,cd,verde,liberal,salvacion,sen_pacto,sen_cd,sen_alianza,sen_ahora,sen_salvacion,sen_liberal,pres_turnout,cepeda,abelardo,m_cam,m_pres
19,61,3140,10,1397,38,15,15,3,4,4,12,6,15,19,646,147,95,60,55,644,113,145,62,51,99,1948,1197,411,10,9
19,62,2005,7,755,10,4,3,5,2,4,8,8,4,12,357,69,50,18,23,390,60,88,29,19,40,1443,932,288,7,7
19,63,4703,15,2562,62,10,26,10,11,7,19,24,25,37,1195,263,166,84,91,1225,219,282,133,84,148,3380,2029,791,15,13
19,64,1304,4,711,25,3,5,10,1,3,3,3,7,12,329,99,40,20,28,344,67,85,48,29,35,1306,820,259,4,5
19,65,1861,6,754,16,3,6,4,2,5,5,1,4,7,379,67,45,33,24,390,71,77,25,23,42,1098,673,232,6,6
19,66,3027,10,1501,30,11,11,8,3,9,10,11,7,27,684,161,103,51,61,682,149,163,74,52,101,2027,1213,476,10,9
19,67,3068,10,1390,34,6,14,11,2,12,5,5,8,25,665,154,64,35,56,667,135,122,85,53,76,2559,1569,589,10,11
19,68,4837,15,3002,162,31,39,19,18,46,42,24,24,70,1078,507,238,113,186,1071,415,336,195,192,226,5127,2328,1706,15,18
19,69,1665,5,904,26,3,8,13,5,9,9,8,7,21,379,111,58,34,43,381,87,84,58,38,68,1105,657,252,5,5
19,70,2298,7,1625,69,16,17,18,13,19,18,7,18,47,604,276,109,52,108,588,246,202,101,104,79,3769,1670,1343,7,13
19,71,1059,4,535,13,7,6,2,0,3,4,5,3,17,241,60,30,18,28,253,56,42,30,28,24,1618,949,392,4,6
19,72,351,2,262,7,1,3,2,0,0,2,2,2,3,124,23,15,16,7,121,23,23,15,6,24,558,342,152,2,2
19,73,148,1,99,2,1,0,1,0,0,0,0,0,0,37,17,3,4,0,37,13,10,3,5,7,153,91,40,1,1
19,74,503,2,244,1,0,3,0,0,0,0,1,2,4,102,20,17,12,10,108,16,13,20,8,11,936,566,236,2,4
19,75,774,3,555,25,4,4,1,1,2,5,3,2,10,230,73,26,30,27,229,68,40,42,29,51,1539,797,438,3,5
19,76,1281,4,835,25,6,5,0,2,4,7,1,5,16,363,91,60,28,48,369,91,100,54,49,56,2488,1355,725,4,9
19,77,293,1,143,4,0,0,2,1,0,0,1,2,3,62,20,5,5,5,69,21,16,5,4,8,559,332,137,1,3
20,01,1004,4,541,1,0,0,0,1,0,0,0,3,0,441,4,50,7,0,449,3,9,0,0,60,586,568,10,4,3
20,02,1391,5,540,2,4,0,1,0,0,1,101,10,6,158,43,117,82,8,138,20,27,4,7,309,473,268,130,5,4
20,03,924,3,280,4,1,2,0,1,0,2,22,3,2,67,32,31,45,5,54,27,18,1,2,160,334,134,143,3,3
20,04,553,2,300,0,0,0,0,0,0,1,0,0,0,239,1,26,3,2,216,0,4,2,0,59,318,308,2,2,2
20,05,819,3,238,2,2,0,1,0,0,0,20,4,1,87,12,40,12,1,84,4,13,3,1,98,271,182,52,3,2
20,06,273,1,168,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,160,0,0,0,0,2,215,204,2,1,1
